"Teams","Game","Points","Conference","MaxPoints","MinPoints","MaxFinal","PointsLessGames","MaxPointsLessGames","MinPointsLessGames","MaxFinalLessGames"
"New England Rev.",19,28,"East",28,28,73,9,9,9,54
"New York City FC",19,37,"East",37,37,82,18,18,18,63
"New York Red Bulls",19,38,"East",38,38,83,19,19,19,64
"Orlando City",19,22,"East",22,22,67,3,3,3,48
"Philadelphia Union",19,24,"East",24,24,69,5,5,5,50
"Portland Timbers",19,34,"West",34,34,79,15,15,15,60
"Real Salt Lake",19,29,"West",29,29,74,10,10,10,55
"San Jose Earthquakes",19,12,"West",12,12,57,-7,-7,-7,38
"Seattle Sounders FC",19,20,"West",20,20,65,1,1,1,46
"Sporting Kansas City",19,33,"West",33,33,78,14,14,14,59
"Toronto FC",19,16,"East",16,16,61,-3,-3,-3,42
"Vancouver Whitecaps",19,26,"West",26,26,71,7,7,7,52
"Atlanta United",20,40,"East",40,40,82,20,20,20,62
"Chicago Fire",20,23,"East",23,23,65,3,3,3,45
"Colorado Rapids",20,17,"West",17,17,59,-3,-3,-3,39
"Columbus Crew",20,30,"East",30,30,72,10,10,10,52
"DC United",20,21,"East",21,21,63,1,1,1,43
"FC Dallas",20,39,"West",39,39,81,19,19,19,61
"Houston Dynamo",20,27,"West",27,27,69,7,7,7,49
"LA Galaxy",20,31,"West",31,31,73,11,11,11,53
"Los Angeles FC",20,35,"West",35,35,77,15,15,15,57
"Minnesota United",20,25,"West",25,25,67,5,5,5,47
"Montreal Impact",20,24,"East",24,24,66,4,4,4,46
"New England Rev.",20,28,"East",28,28,70,8,8,8,50
"New York City FC",20,40,"East",40,40,82,20,20,20,62
"New York Red Bulls",20,41,"East",41,41,83,21,21,21,63
"Orlando City",20,22,"East",22,22,64,2,2,2,44
"Philadelphia Union",20,24,"East",24,24,66,4,4,4,46
"Portland Timbers",20,37,"West",37,37,79,17,17,17,59
"Real Salt Lake",20,29,"West",29,29,71,9,9,9,51
"San Jose Earthquakes",20,12,"West",12,12,54,-8,-8,-8,34
"Seattle Sounders FC",20,23,"West",23,23,65,3,3,3,45
"Sporting Kansas City",20,33,"West",33,33,75,13,13,13,55
"Toronto FC",20,19,"East",19,19,61,-1,-1,-1,41
"Vancouver Whitecaps",20,26,"West",26,26,68,6,6,6,48
"Atlanta United",21,41,"East",41,41,80,20,20,20,59
"Chicago Fire",21,23,"East",23,23,62,2,2,2,41
"Colorado Rapids",21,17,"West",17,17,56,-4,-4,-4,35
"Columbus Crew",21,30,"East",30,30,69,9,9,9,48
"DC United",21,24,"East",24,24,63,3,3,3,42
"FC Dallas",21,42,"West",42,42,81,21,21,21,60
"Houston Dynamo",21,27,"West",27,27,66,6,6,6,45
"LA Galaxy",21,32,"West",32,32,71,11,11,11,50
"Los Angeles FC",21,36,"West",36,36,75,15,15,15,54
"Minnesota United",21,28,"West",28,28,67,7,7,7,46
"Montreal Impact",21,27,"East",27,27,66,6,6,6,45
"New England Rev.",21,28,"East",28,28,67,7,7,7,46
"New York City FC",21,43,"East",43,43,82,22,22,22,61
"New York Red Bulls",21,41,"East",41,41,80,20,20,20,59
"Orlando City",21,22,"East",22,22,61,1,1,1,40
"Philadelphia Union",21,27,"East",27,27,66,6,6,6,45
"Portland Timbers",21,37,"West",37,37,76,16,16,16,55
"Real Salt Lake",21,30,"West",30,30,69,9,9,9,48
"San Jose Earthquakes",21,13,"West",13,13,52,-8,-8,-8,31
"Seattle Sounders FC",21,26,"West",26,26,65,5,5,5,44
"Sporting Kansas City",21,33,"West",33,33,72,12,12,12,51
"Toronto FC",21,22,"East",22,22,61,1,1,1,40
"Vancouver Whitecaps",21,26,"West",26,26,65,5,5,5,44
"Atlanta United",22,44,"East",44,44,80,22,22,22,58
"Chicago Fire",22,23,"East",23,23,59,1,1,1,37
"Colorado Rapids",22,20,"West",20,20,56,-2,-2,-2,34
"Columbus Crew",22,33,"East",33,33,69,11,11,11,47
"DC United",22,27,"East",27,27,63,5,5,5,41
"FC Dallas",22,42,"West",42,42,78,20,20,20,56
"Houston Dynamo",22,27,"West",27,27,63,5,5,5,41
"LA Galaxy",22,35,"West",35,35,71,13,13,13,49
"Los Angeles FC",22,36,"West",36,36,72,14,14,14,50
"Minnesota United",22,28,"West",28,28,64,6,6,6,42
"Montreal Impact",22,28,"East",28,28,64,6,6,6,42
"New England Rev.",22,29,"East",29,29,65,7,7,7,43
"New York City FC",22,43,"East",43,43,79,21,21,21,57
"New York Red Bulls",22,44,"East",44,44,80,22,22,22,58
"Orlando City",22,22,"East",22,22,58,0,0,0,36
"Philadelphia Union",22,27,"East",27,27,63,5,5,5,41
"Portland Timbers",22,37,"West",37,37,73,15,15,15,51
"Real Salt Lake",22,31,"West",31,31,67,9,9,9,45
"San Jose Earthquakes",22,16,"West",16,16,52,-6,-6,-6,30
"Seattle Sounders FC",22,29,"West",29,29,65,7,7,7,43
"Sporting Kansas City",22,36,"West",36,36,72,14,14,14,50
"Toronto FC",22,23,"East",23,23,59,1,1,1,37
"Vancouver Whitecaps",22,29,"West",29,29,65,7,7,7,43
"Atlanta United",23,47,"East",47,47,80,24,24,24,57
"Chicago Fire",23,23,"East",23,23,56,0,0,0,33
"Colorado Rapids",23,23,"West",23,23,56,0,0,0,33
"Columbus Crew",23,36,"East",36,36,69,13,13,13,46
"DC United",23,NA,"East",30,27,63,NA,7,4,40
"FC Dallas",23,42,"West",42,42,75,19,19,19,52
"Houston Dynamo",23,27,"West",27,27,60,4,4,4,37
"LA Galaxy",23,35,"West",35,35,68,12,12,12,45
"Los Angeles FC",23,36,"West",36,36,69,13,13,13,46
"Minnesota United",23,28,"West",28,28,61,5,5,5,38
"Montreal Impact",23,28,"East",28,28,61,5,5,5,38
"New England Rev.",23,29,"East",29,29,62,6,6,6,39
"New York City FC",23,44,"East",44,44,77,21,21,21,54
"New York Red Bulls",23,47,"East",47,47,80,24,24,24,57
"Orlando City",23,23,"East",23,23,56,0,0,0,33
"Philadelphia Union",23,30,"East",30,30,63,7,7,7,40
"Portland Timbers",23,37,"West",37,37,70,14,14,14,47
"Real Salt Lake",23,34,"West",34,34,67,11,11,11,44
"San Jose Earthquakes",23,16,"West",16,16,49,-7,-7,-7,26
"Seattle Sounders FC",23,32,"West",32,32,65,9,9,9,42
"Sporting Kansas City",23,39,"West",39,39,72,16,16,16,49
"Toronto FC",23,23,"East",23,23,56,0,0,0,33
"Vancouver Whitecaps",23,30,"West",30,30,63,7,7,7,40
"Atlanta United",24,48,"East",48,48,78,24,24,24,54
"Chicago Fire",24,23,"East",23,23,53,-1,-1,-1,29
"Colorado Rapids",24,24,"West",24,24,54,0,0,0,30
"Columbus Crew",24,39,"East",39,39,69,15,15,15,45
"DC United",24,NA,"East",33,27,63,NA,9,3,39
"FC Dallas",24,45,"West",45,45,75,21,21,21,51
"Houston Dynamo",24,27,"West",27,27,57,3,3,3,33
"LA Galaxy",24,36,"West",36,36,66,12,12,12,42
"Los Angeles FC",24,39,"West",39,39,69,15,15,15,45
"Minnesota United",24,29,"West",29,29,59,5,5,5,35
"Montreal Impact",24,29,"East",29,29,59,5,5,5,35
"New England Rev.",24,29,"East",29,29,59,5,5,5,35
"New York City FC",24,47,"East",47,47,77,23,23,23,53
"New York Red Bulls",24,48,"East",48,48,78,24,24,24,54
"Orlando City",24,23,"East",23,23,53,-1,-1,-1,29
"Philadelphia Union",24,33,"East",33,33,63,9,9,9,39
"Portland Timbers",24,NA,"West",40,37,70,NA,16,13,46
"Real Salt Lake",24,35,"West",35,35,65,11,11,11,41
"San Jose Earthquakes",24,17,"West",17,17,47,-7,-7,-7,23
"Seattle Sounders FC",24,35,"West",35,35,65,11,11,11,41
"Sporting Kansas City",24,42,"West",42,42,72,18,18,18,48
"Toronto FC",24,24,"East",24,24,54,0,0,0,30
"Vancouver Whitecaps",24,33,"West",33,33,63,9,9,9,39
"Atlanta United",25,51,"East",51,51,78,26,26,26,53
"Chicago Fire",25,23,"East",23,23,50,-2,-2,-2,25
"Colorado Rapids",25,24,"West",24,24,51,-1,-1,-1,26
"Columbus Crew",25,39,"East",39,39,66,14,14,14,41
"DC United",25,NA,"East",36,27,63,NA,11,2,38
"FC Dallas",25,NA,"West",48,45,75,NA,23,20,50
"Houston Dynamo",25,NA,"West",30,27,57,NA,5,2,32
"LA Galaxy",25,37,"West",37,37,64,12,12,12,39
"Los Angeles FC",25,42,"West",42,42,69,17,17,17,44
"Minnesota United",25,29,"West",29,29,56,4,4,4,31
"Montreal Impact",25,30,"East",30,30,57,5,5,5,32
"New England Rev.",25,NA,"East",32,29,59,NA,7,4,34
"New York City FC",25,47,"East",47,47,74,22,22,22,49
"New York Red Bulls",25,NA,"East",51,48,78,NA,26,23,53
"Orlando City",25,NA,"East",26,23,53,NA,1,-2,28
"Philadelphia Union",25,NA,"East",36,33,63,NA,11,8,38
"Portland Timbers",25,NA,"West",43,37,70,NA,18,12,45
"Real Salt Lake",25,35,"West",35,35,62,10,10,10,37
"San Jose Earthquakes",25,NA,"West",20,17,47,NA,-5,-8,22
"Seattle Sounders FC",25,NA,"West",38,35,65,NA,13,10,40
"Sporting Kansas City",25,NA,"West",45,42,72,NA,20,17,47
"Toronto FC",25,NA,"East",27,24,54,NA,2,-1,29
"Vancouver Whitecaps",25,34,"West",34,34,61,9,9,9,36
"Atlanta United",26,NA,"East",54,51,78,NA,28,25,52
"Chicago Fire",26,23,"East",23,23,47,-3,-3,-3,21
"Colorado Rapids",26,NA,"West",27,24,51,NA,1,-2,25
"Columbus Crew",26,NA,"East",42,39,66,NA,16,13,40
"DC United",26,NA,"East",39,27,63,NA,13,1,37
"FC Dallas",26,NA,"West",51,45,75,NA,25,19,49
"Houston Dynamo",26,NA,"West",33,27,57,NA,7,1,31
"LA Galaxy",26,37,"West",37,37,61,11,11,11,35
"Los Angeles FC",26,NA,"West",45,42,69,NA,19,16,43
"Minnesota United",26,NA,"West",32,29,56,NA,6,3,30
"Montreal Impact",26,33,"East",33,33,57,7,7,7,31
"New England Rev.",26,NA,"East",35,29,59,NA,9,3,33
"New York City FC",26,NA,"East",50,47,74,NA,24,21,48
"New York Red Bulls",26,NA,"East",54,48,78,NA,28,22,52
"Orlando City",26,NA,"East",29,23,53,NA,3,-3,27
"Philadelphia Union",26,NA,"East",39,33,63,NA,13,7,37
"Portland Timbers",26,NA,"West",46,37,70,NA,20,11,44
"Real Salt Lake",26,38,"West",38,38,62,12,12,12,36
"San Jose Earthquakes",26,NA,"West",23,17,47,NA,-3,-9,21
"Seattle Sounders FC",26,NA,"West",41,35,65,NA,15,9,39
"Sporting Kansas City",26,NA,"West",48,42,72,NA,22,16,46
"Toronto FC",26,NA,"East",30,24,54,NA,4,-2,28
"Vancouver Whitecaps",26,NA,"West",37,34,61,NA,11,8,35
"Atlanta United",27,NA,"East",57,51,78,NA,30,24,51
"Chicago Fire",27,NA,"East",26,23,47,NA,-1,-4,20
"Colorado Rapids",27,NA,"West",30,24,51,NA,3,-3,24
"Columbus Crew",27,NA,"East",45,39,66,NA,18,12,39
"DC United",27,NA,"East",42,27,63,NA,15,0,36
"FC Dallas",27,NA,"West",54,45,75,NA,27,18,48
"Houston Dynamo",27,NA,"West",36,27,57,NA,9,0,30
"LA Galaxy",27,NA,"West",40,37,61,NA,13,10,34
"Los Angeles FC",27,NA,"West",48,42,69,NA,21,15,42
"Minnesota United",27,NA,"West",35,29,56,NA,8,2,29
"Montreal Impact",27,NA,"East",36,33,57,NA,9,6,30
"New England Rev.",27,NA,"East",38,29,59,NA,11,2,32
"New York City FC",27,NA,"East",53,47,74,NA,26,20,47
"New York Red Bulls",27,NA,"East",57,48,78,NA,30,21,51
"Orlando City",27,NA,"East",32,23,53,NA,5,-4,26
"Philadelphia Union",27,NA,"East",42,33,63,NA,15,6,36
"Portland Timbers",27,NA,"West",49,37,70,NA,22,10,43
"Real Salt Lake",27,NA,"West",41,38,62,NA,14,11,35
"San Jose Earthquakes",27,NA,"West",26,17,47,NA,-1,-10,20
"Seattle Sounders FC",27,NA,"West",44,35,65,NA,17,8,38
"Sporting Kansas City",27,NA,"West",51,42,72,NA,24,15,45
"Toronto FC",27,NA,"East",33,24,54,NA,6,-3,27
"Vancouver Whitecaps",27,NA,"West",40,34,61,NA,13,7,34
"Atlanta United",28,NA,"East",60,51,78,NA,32,23,50
"Chicago Fire",28,NA,"East",29,23,47,NA,1,-5,19
"Colorado Rapids",28,NA,"West",33,24,51,NA,5,-4,23
"Columbus Crew",28,NA,"East",48,39,66,NA,20,11,38
"DC United",28,NA,"East",45,27,63,NA,17,-1,35
"FC Dallas",28,NA,"West",57,45,75,NA,29,17,47
"Houston Dynamo",28,NA,"West",39,27,57,NA,11,-1,29
"LA Galaxy",28,NA,"West",43,37,61,NA,15,9,33
"Los Angeles FC",28,NA,"West",51,42,69,NA,23,14,41
"Minnesota United",28,NA,"West",38,29,56,NA,10,1,28
"Montreal Impact",28,NA,"East",39,33,57,NA,11,5,29
"New England Rev.",28,NA,"East",41,29,59,NA,13,1,31
"New York City FC",28,NA,"East",56,47,74,NA,28,19,46
"New York Red Bulls",28,NA,"East",60,48,78,NA,32,20,50
"Orlando City",28,NA,"East",35,23,53,NA,7,-5,25
"Philadelphia Union",28,NA,"East",45,33,63,NA,17,5,35
"Portland Timbers",28,NA,"West",52,37,70,NA,24,9,42
"Real Salt Lake",28,NA,"West",44,38,62,NA,16,10,34
"San Jose Earthquakes",28,NA,"West",29,17,47,NA,1,-11,19
"Seattle Sounders FC",28,NA,"West",47,35,65,NA,19,7,37
"Sporting Kansas City",28,NA,"West",54,42,72,NA,26,14,44
"Toronto FC",28,NA,"East",36,24,54,NA,8,-4,26
"Vancouver Whitecaps",28,NA,"West",43,34,61,NA,15,6,33
"Atlanta United",29,NA,"East",63,51,78,NA,34,22,49
"Chicago Fire",29,NA,"East",32,23,47,NA,3,-6,18
"Colorado Rapids",29,NA,"West",36,24,51,NA,7,-5,22
"Columbus Crew",29,NA,"East",51,39,66,NA,22,10,37
"DC United",29,NA,"East",48,27,63,NA,19,-2,34
"FC Dallas",29,NA,"West",60,45,75,NA,31,16,46
"Houston Dynamo",29,NA,"West",42,27,57,NA,13,-2,28
"LA Galaxy",29,NA,"West",46,37,61,NA,17,8,32
"Los Angeles FC",29,NA,"West",54,42,69,NA,25,13,40
"Minnesota United",29,NA,"West",41,29,56,NA,12,0,27
"Montreal Impact",29,NA,"East",42,33,57,NA,13,4,28
"New England Rev.",29,NA,"East",44,29,59,NA,15,0,30
"New York City FC",29,NA,"East",59,47,74,NA,30,18,45
"New York Red Bulls",29,NA,"East",63,48,78,NA,34,19,49
"Orlando City",29,NA,"East",38,23,53,NA,9,-6,24
"Philadelphia Union",29,NA,"East",48,33,63,NA,19,4,34
"Portland Timbers",29,NA,"West",55,37,70,NA,26,8,41
"Real Salt Lake",29,NA,"West",47,38,62,NA,18,9,33
"San Jose Earthquakes",29,NA,"West",32,17,47,NA,3,-12,18
"Seattle Sounders FC",29,NA,"West",50,35,65,NA,21,6,36
"Sporting Kansas City",29,NA,"West",57,42,72,NA,28,13,43
"Toronto FC",29,NA,"East",39,24,54,NA,10,-5,25
"Vancouver Whitecaps",29,NA,"West",46,34,61,NA,17,5,32
"Atlanta United",30,NA,"East",66,51,78,NA,36,21,48
"Chicago Fire",30,NA,"East",35,23,47,NA,5,-7,17
"Colorado Rapids",30,NA,"West",39,24,51,NA,9,-6,21
"Columbus Crew",30,NA,"East",54,39,66,NA,24,9,36
"DC United",30,NA,"East",51,27,63,NA,21,-3,33
"FC Dallas",30,NA,"West",63,45,75,NA,33,15,45
"Houston Dynamo",30,NA,"West",45,27,57,NA,15,-3,27
"LA Galaxy",30,NA,"West",49,37,61,NA,19,7,31
"Los Angeles FC",30,NA,"West",57,42,69,NA,27,12,39
"Minnesota United",30,NA,"West",44,29,56,NA,14,-1,26
"Montreal Impact",30,NA,"East",45,33,57,NA,15,3,27
"New England Rev.",30,NA,"East",47,29,59,NA,17,-1,29
"New York City FC",30,NA,"East",62,47,74,NA,32,17,44
"New York Red Bulls",30,NA,"East",66,48,78,NA,36,18,48
"Orlando City",30,NA,"East",41,23,53,NA,11,-7,23
"Philadelphia Union",30,NA,"East",51,33,63,NA,21,3,33
"Portland Timbers",30,NA,"West",58,37,70,NA,28,7,40
"Real Salt Lake",30,NA,"West",50,38,62,NA,20,8,32
"San Jose Earthquakes",30,NA,"West",35,17,47,NA,5,-13,17
"Seattle Sounders FC",30,NA,"West",53,35,65,NA,23,5,35
"Sporting Kansas City",30,NA,"West",60,42,72,NA,30,12,42
"Toronto FC",30,NA,"East",42,24,54,NA,12,-6,24
"Vancouver Whitecaps",30,NA,"West",49,34,61,NA,19,4,31
"Atlanta United",31,NA,"East",69,51,78,NA,38,20,47
"Chicago Fire",31,NA,"East",38,23,47,NA,7,-8,16
"Colorado Rapids",31,NA,"West",42,24,51,NA,11,-7,20
"Columbus Crew",31,NA,"East",57,39,66,NA,26,8,35
"DC United",31,NA,"East",54,27,63,NA,23,-4,32
"FC Dallas",31,NA,"West",66,45,75,NA,35,14,44
"Houston Dynamo",31,NA,"West",48,27,57,NA,17,-4,26
"LA Galaxy",31,NA,"West",52,37,61,NA,21,6,30
"Los Angeles FC",31,NA,"West",60,42,69,NA,29,11,38
"Minnesota United",31,NA,"West",47,29,56,NA,16,-2,25
"Montreal Impact",31,NA,"East",48,33,57,NA,17,2,26
"New England Rev.",31,NA,"East",50,29,59,NA,19,-2,28
"New York City FC",31,NA,"East",65,47,74,NA,34,16,43
"New York Red Bulls",31,NA,"East",69,48,78,NA,38,17,47
"Orlando City",31,NA,"East",44,23,53,NA,13,-8,22
"Philadelphia Union",31,NA,"East",54,33,63,NA,23,2,32
"Portland Timbers",31,NA,"West",61,37,70,NA,30,6,39
"Real Salt Lake",31,NA,"West",53,38,62,NA,22,7,31
"San Jose Earthquakes",31,NA,"West",38,17,47,NA,7,-14,16
"Seattle Sounders FC",31,NA,"West",56,35,65,NA,25,4,34
"Sporting Kansas City",31,NA,"West",63,42,72,NA,32,11,41
"Toronto FC",31,NA,"East",45,24,54,NA,14,-7,23
"Vancouver Whitecaps",31,NA,"West",52,34,61,NA,21,3,30
"Atlanta United",32,NA,"East",72,51,78,NA,40,19,46
"Chicago Fire",32,NA,"East",41,23,47,NA,9,-9,15
"Colorado Rapids",32,NA,"West",45,24,51,NA,13,-8,19
"Columbus Crew",32,NA,"East",60,39,66,NA,28,7,34
"DC United",32,NA,"East",57,27,63,NA,25,-5,31
"FC Dallas",32,NA,"West",69,45,75,NA,37,13,43
"Houston Dynamo",32,NA,"West",51,27,57,NA,19,-5,25
"LA Galaxy",32,NA,"West",55,37,61,NA,23,5,29
"Los Angeles FC",32,NA,"West",63,42,69,NA,31,10,37
"Minnesota United",32,NA,"West",50,29,56,NA,18,-3,24
"Montreal Impact",32,NA,"East",51,33,57,NA,19,1,25
"New England Rev.",32,NA,"East",53,29,59,NA,21,-3,27
"New York City FC",32,NA,"East",68,47,74,NA,36,15,42
"New York Red Bulls",32,NA,"East",72,48,78,NA,40,16,46
"Orlando City",32,NA,"East",47,23,53,NA,15,-9,21
"Philadelphia Union",32,NA,"East",57,33,63,NA,25,1,31
"Portland Timbers",32,NA,"West",64,37,70,NA,32,5,38
"Real Salt Lake",32,NA,"West",56,38,62,NA,24,6,30
"San Jose Earthquakes",32,NA,"West",41,17,47,NA,9,-15,15
"Seattle Sounders FC",32,NA,"West",59,35,65,NA,27,3,33
"Sporting Kansas City",32,NA,"West",66,42,72,NA,34,10,40
"Toronto FC",32,NA,"East",48,24,54,NA,16,-8,22
"Vancouver Whitecaps",32,NA,"West",55,34,61,NA,23,2,29
"Atlanta United",33,NA,"East",75,51,78,NA,42,18,45
"Chicago Fire",33,NA,"East",44,23,47,NA,11,-10,14
"Colorado Rapids",33,NA,"West",48,24,51,NA,15,-9,18
"Columbus Crew",33,NA,"East",63,39,66,NA,30,6,33
"DC United",33,NA,"East",60,27,63,NA,27,-6,30
"FC Dallas",33,NA,"West",72,45,75,NA,39,12,42
"Houston Dynamo",33,NA,"West",54,27,57,NA,21,-6,24
"LA Galaxy",33,NA,"West",58,37,61,NA,25,4,28
"Los Angeles FC",33,NA,"West",66,42,69,NA,33,9,36
"Minnesota United",33,NA,"West",53,29,56,NA,20,-4,23
"Montreal Impact",33,NA,"East",54,33,57,NA,21,0,24
"New England Rev.",33,NA,"East",56,29,59,NA,23,-4,26
"New York City FC",33,NA,"East",71,47,74,NA,38,14,41
"New York Red Bulls",33,NA,"East",75,48,78,NA,42,15,45
"Orlando City",33,NA,"East",50,23,53,NA,17,-10,20
"Philadelphia Union",33,NA,"East",60,33,63,NA,27,0,30
"Portland Timbers",33,NA,"West",67,37,70,NA,34,4,37
"Real Salt Lake",33,NA,"West",59,38,62,NA,26,5,29
"San Jose Earthquakes",33,NA,"West",44,17,47,NA,11,-16,14
"Seattle Sounders FC",33,NA,"West",62,35,65,NA,29,2,32
"Sporting Kansas City",33,NA,"West",69,42,72,NA,36,9,39
"Toronto FC",33,NA,"East",51,24,54,NA,18,-9,21
"Vancouver Whitecaps",33,NA,"West",58,34,61,NA,25,1,28
"Atlanta United",34,NA,"East",78,51,78,NA,44,17,44
"Chicago Fire",34,NA,"East",47,23,47,NA,13,-11,13
"Colorado Rapids",34,NA,"West",51,24,51,NA,17,-10,17
"Columbus Crew",34,NA,"East",66,39,66,NA,32,5,32
"DC United",34,NA,"East",63,27,63,NA,29,-7,29
"FC Dallas",34,NA,"West",75,45,75,NA,41,11,41
"Houston Dynamo",34,NA,"West",57,27,57,NA,23,-7,23
"LA Galaxy",34,NA,"West",61,37,61,NA,27,3,27
"Los Angeles FC",34,NA,"West",69,42,69,NA,35,8,35
"Minnesota United",34,NA,"West",56,29,56,NA,22,-5,22
"Montreal Impact",34,NA,"East",57,33,57,NA,23,-1,23
"New England Rev.",34,NA,"East",59,29,59,NA,25,-5,25
"New York City FC",34,NA,"East",74,47,74,NA,40,13,40
"New York Red Bulls",34,NA,"East",78,48,78,NA,44,14,44
"Orlando City",34,NA,"East",53,23,53,NA,19,-11,19
"Philadelphia Union",34,NA,"East",63,33,63,NA,29,-1,29
"Portland Timbers",34,NA,"West",70,37,70,NA,36,3,36
"Real Salt Lake",34,NA,"West",62,38,62,NA,28,4,28
"San Jose Earthquakes",34,NA,"West",47,17,47,NA,13,-17,13
"Seattle Sounders FC",34,NA,"West",65,35,65,NA,31,1,31
"Sporting Kansas City",34,NA,"West",72,42,72,NA,38,8,38
"Toronto FC",34,NA,"East",54,24,54,NA,20,-10,20
"Vancouver Whitecaps",34,NA,"West",61,34,61,NA,27,0,27
"Thresholds",0,NA,"West",NA,-103,103,NA,NA,-103,103
"Thresholds",0,NA,"East",NA,-103,103,NA,NA,-103,103
"Thresholds",1,NA,"West",NA,-99,101,NA,NA,-100,100
"Thresholds",1,NA,"East",NA,-99,100,NA,NA,-100,99
"Thresholds",2,NA,"West",NA,-94,100,NA,NA,-96,98
"Thresholds",2,NA,"East",NA,-94,98,NA,NA,-96,96
"Thresholds",3,NA,"West",NA,-90,98,NA,NA,-93,95
"Thresholds",3,NA,"East",NA,-90,97,NA,NA,-93,94
"Thresholds",4,NA,"West",NA,-86,96,NA,NA,-90,92
"Thresholds",4,NA,"East",NA,-85,96,NA,NA,-89,92
"Thresholds",5,NA,"West",NA,-81,95,NA,NA,-86,90
"Thresholds",5,NA,"East",NA,-81,94,NA,NA,-86,89
"Thresholds",6,NA,"West",NA,-77,93,NA,NA,-83,87
"Thresholds",6,NA,"East",NA,-76,92,NA,NA,-82,86
"Thresholds",7,NA,"West",NA,-74,90,NA,NA,-81,83
"Thresholds",7,NA,"East",NA,-72,90,NA,NA,-79,83
"Thresholds",8,NA,"West",NA,-69,89,NA,NA,-77,81
"Thresholds",8,NA,"East",NA,-68,87,NA,NA,-76,79
"Thresholds",9,NA,"West",NA,-64,88,NA,NA,-73,79
"Thresholds",9,NA,"East",NA,-62,87,NA,NA,-71,78
"Thresholds",10,NA,"West",NA,-60,86,NA,NA,-70,76
"Thresholds",10,NA,"East",NA,-58,84,NA,NA,-68,74
"Thresholds",11,NA,"West",NA,-57,83,NA,NA,-68,72
"Thresholds",11,NA,"East",NA,-53,84,NA,NA,-64,73
"Thresholds",12,NA,"West",NA,-51,83,NA,NA,-63,71
"Thresholds",12,NA,"East",NA,-49,82,NA,NA,-61,70
"Thresholds",13,NA,"West",NA,-48,80,NA,NA,-61,67
"Thresholds",13,NA,"East",NA,-45,82,NA,NA,-58,69
"Thresholds",14,NA,"West",NA,-44,78,NA,NA,-58,64
"Thresholds",14,NA,"East",NA,-42,79,NA,NA,-56,65
"Thresholds",15,NA,"West",NA,-38,78,NA,NA,-53,63
"Thresholds",15,NA,"East",NA,-39,76,NA,NA,-54,61
"Thresholds",16,NA,"West",NA,-33,77,NA,NA,-49,61
"Thresholds",16,NA,"East",NA,-34,74,NA,NA,-50,58
"Thresholds",17,NA,"West",NA,-29,75,NA,NA,-46,58
"Thresholds",17,NA,"East",NA,-31,72,NA,NA,-48,55
"Thresholds",18,NA,"West",NA,-24,74,NA,NA,-42,56
"Thresholds",18,NA,"East",NA,-26,70,NA,NA,-44,52
"Thresholds",19,NA,"West",NA,-19,73,NA,NA,-38,54
"Thresholds",19,NA,"East",NA,-22,70,NA,NA,-41,51
"Thresholds",20,NA,"West",NA,-16,70,NA,NA,-36,50
"Thresholds",20,NA,"East",NA,-19,67,NA,NA,-39,47
"Thresholds",21,NA,"West",NA,-12,68,NA,NA,-33,47
"Thresholds",21,NA,"East",NA,-13,67,NA,NA,-34,46
"Thresholds",22,NA,"West",NA,-8,66,NA,NA,-30,44
"Thresholds",22,NA,"East",NA,-9,64,NA,NA,-31,42
"Thresholds",23,NA,"West",NA,-2,66,NA,NA,-25,43
"Thresholds",23,NA,"East",NA,-5,63,NA,NA,-28,40
"Thresholds",24,NA,"West",NA,4,66,NA,NA,-20,42
"Thresholds",24,NA,"East",NA,-2,60,NA,NA,-26,36
"Thresholds",25,NA,"West",NA,7,63,NA,NA,-18,38
"Thresholds",25,NA,"East",NA,2,60,NA,NA,-23,35
"Thresholds",26,NA,"West",NA,10,62,NA,NA,-16,36
"Thresholds",26,NA,"East",NA,8,60,NA,NA,-18,34
"Thresholds",27,NA,"West",NA,13,62,NA,NA,-14,35
"Thresholds",27,NA,"East",NA,11,60,NA,NA,-16,33
"Thresholds",28,NA,"West",NA,16,62,NA,NA,-12,34
"Thresholds",28,NA,"East",NA,14,60,NA,NA,-14,32
"Thresholds",29,NA,"West",NA,19,62,NA,NA,-10,33
"Thresholds",29,NA,"East",NA,17,60,NA,NA,-12,31
"Thresholds",30,NA,"West",NA,22,62,NA,NA,-8,32
"Thresholds",30,NA,"East",NA,20,60,NA,NA,-10,30
"Thresholds",31,NA,"West",NA,25,62,NA,NA,-6,31
"Thresholds",31,NA,"East",NA,23,60,NA,NA,-8,29
"Thresholds",32,NA,"West",NA,28,62,NA,NA,-4,30
"Thresholds",32,NA,"East",NA,26,60,NA,NA,-6,28
"Thresholds",33,NA,"West",NA,31,62,NA,NA,-2,29
"Thresholds",33,NA,"East",NA,29,60,NA,NA,-4,27
"Thresholds",34,NA,"West",NA,34,62,NA,NA,0,28
"Thresholds",34,NA,"East",NA,32,60,NA,NA,-2,26
